"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000044576",727.627947016546,-6.14425219393665,0.275539310256968,-22.2990040448548,3.77815236634671e-110,6.83520306912976e-108
"ENSMUSG00000024965",5771.83074873687,5.21174766774045,0.233774558768752,22.2939044145341,4.2340821733765e-110,7.60964847449338e-108
"ENSMUSG00000030630",499.743669768661,3.4503937537808,0.154982336962964,22.2631418611616,8.4139087955793e-110,1.50229516652049e-107
"ENSMUSG00000020183",2588.82872241074,3.8780759834157,0.17441721713189,22.2344791826554,1.59407667536473e-109,2.82772640374114e-107
"ENSMUSG00000031897",1175.13029792901,2.97751475630132,0.133927084943332,22.232356939309,1.67125438925122e-109,2.94550499390741e-107
"ENSMUSG00000020120",3457.67665943595,4.10375331849428,0.184593994000578,22.2312396495491,1.71337291279489e-109,3.00037956613659e-107
"ENSMUSG00000031101",487.074416509696,4.75287211655932,0.214317519524501,22.1767783012063,5.75556423738537e-109,1.00146817730505e-106
"ENSMUSG00000032204",455.525395906608,6.84326037830539,0.309359849796578,22.1207127647794,1.99747601413762e-108,3.45361074393743e-106
"ENSMUSG00000028132",3297.10351438621,4.22435276452287,0.191077617704241,22.1080460143768,2.6447384593853e-108,4.54396007757785e-106
"ENSMUSG00000042476",2120.21133728652,5.95140446310083,0.26962698775328,22.0727328250487,5.77909083282191e-108,9.86707521068932e-106
"ENSMUSG00000067071",4247.54607925108,-2.1006095472887,0.0951869567074835,-22.0682498941954,6.38141050258417e-108,1.08277870875524e-105
"ENSMUSG00000024431",1599.7528503908,2.19692919615243,0.0995700501257498,22.0641567758363,6.98589750827212e-108,1.17802930945048e-105
"ENSMUSG00000022629",3190.68792765177,-3.39141546023495,0.153744457236398,-22.0587819632437,7.86727992263377e-108,1.31851750261662e-105
"ENSMUSG00000020143",626.855131829085,4.22586078818932,0.191591922348674,22.0565707383987,8.26133914147852e-108,1.37611745528604e-105
"ENSMUSG00000034958",821.962926472311,-7.34467629333765,0.333484650997004,-22.024031005264,1.69495716880934e-107,2.80623272348688e-105
"ENSMUSG00000056666",640.81071217956,2.40779724000014,0.109469290137517,21.9951845579289,3.20227577584401e-107,5.26986564123534e-105
"ENSMUSG00000036905",1192.52639383379,2.48821160056908,0.113158704269156,21.9886893954768,3.69506104155878e-107,6.04441182834149e-105
"ENSMUSG00000036655",430.083344353536,7.60865244705099,0.346081287803885,21.9851598892646,3.99386698832871e-107,6.49431299923593e-105
"ENSMUSG00000058135",4215.45364701001,3.79206086302761,0.173565038212422,21.8480686092242,8.10905154742788e-106,1.31078739747121e-103
"ENSMUSG00000034450",2258.8649214887,9.2343539889253,0.423069757323242,21.8270245723801,1.28518878007007e-105,2.0652227702326e-103
"ENSMUSG00000030428",2667.26542049414,-5.64823010669736,0.25881601982862,-21.8233404193351,1.39302972317089e-105,2.22542608056038e-103
"ENSMUSG00000002944",471.667531626995,4.28651359525009,0.196744563979031,21.7872021902823,3.06833582640695e-105,4.87330221545262e-103
"ENSMUSG00000025732",929.830544777893,3.73354599356279,0.171414979646701,21.7807451907524,3.53279598325195e-105,5.57855032777322e-103
"ENSMUSG00000053799",2860.03595459508,3.11652032148709,0.143131149326495,21.7738789645154,4.10387458846272e-105,6.44308310388647e-103
"ENSMUSG00000050732",3249.18917318638,3.70162147329484,0.170113998537598,21.7596523808517,5.59710289482856e-105,8.73723753605294e-103
"ENSMUSG00000055737",1783.92134999511,2.35664434049417,0.108385946748925,21.7430802717746,8.03232351222434e-105,1.24674439606219e-102
"ENSMUSG00000031444",1553.51398720785,7.84053043951356,0.360628573405081,21.7412901187577,8.35180488358444e-105,1.28900907237152e-102
"ENSMUSG00000041920",1951.90535523714,4.12994501870367,0.190143503658569,21.7201478843033,1.3235233351335e-104,2.03123654321218e-102
"ENSMUSG00000050335",301.470916566381,5.68932790643875,0.262145450975462,21.7029434814465,1.92441232160981e-104,2.93693272635401e-102
"ENSMUSG00000022488",780.790735796378,3.76254870155373,0.173518827949909,21.6838065702005,2.91725548241617e-104,4.42742140381361e-102
"ENSMUSG00000035697",1732.57954441326,3.42033231150124,0.157782131837478,21.6775643203017,3.34098686823699e-104,5.04249056720983e-102
"ENSMUSG00000059498",479.255001252372,2.94582780967024,0.13606067208366,21.650839765505,5.96829186924798e-104,8.95834051011628e-102
"ENSMUSG00000039419",1785.73406976809,-5.76882493263234,0.266682284546367,-21.6318265851264,9.01424573249361e-104,1.34563478098503e-101
"ENSMUSG00000048001",2243.91063578424,-10.754628478212,0.497501211548865,-21.6172910307689,1.23517835369427e-103,1.83383707968587e-101
"ENSMUSG00000035000",458.435703205089,4.11493636106301,0.191245308303171,21.5165349548853,1.09011121912709e-102,1.60971125860075e-100
"ENSMUSG00000021986",1258.06930420393,-5.18492769706319,0.241406990973455,-21.4779517202686,2.50302506184279e-102,3.67621713115169e-100
"ENSMUSG00000039956",1079.36410686838,9.52074196136495,0.444034789833376,21.4414324718512,5.48976967243002e-102,8.01976085087933e-100
"ENSMUSG00000038602",1415.85825602875,-6.42140094860622,0.299491224552938,-21.4410320642673,5.53720647342194e-102,8.04603225749683e-100
"ENSMUSG00000003436",1047.02706444167,-6.76807367200064,0.316263612152691,-21.400102357438,1.33315071311433e-101,1.92693180851097e-99
"ENSMUSG00000051166",1655.53091824831,-3.75267298070139,0.175570876319783,-21.3741200098945,2.32667930275345e-101,3.34527501013783e-99
"ENSMUSG00000026938",512.342767613142,6.26558819172209,0.293314098618526,21.3613604706772,3.05774932756528e-101,4.3733819963575e-99
"ENSMUSG00000020098",1548.20555660815,3.57565763332688,0.167821487241053,21.306315967698,9.92005622233595e-101,1.41143799938424e-98
"ENSMUSG00000009654",1643.87161356946,7.50799054546018,0.352406301665873,21.3049270400923,1.02186600056101e-100,1.44639043540547e-98
"ENSMUSG00000020037",991.403480624341,-8.97358423358337,0.422076826963417,-21.2605470386583,2.63329106699783e-100,3.70805388496117e-98
"ENSMUSG00000034177",418.784725591968,3.11760081457287,0.146673734599902,21.2553448855522,2.94192801615519e-100,4.12141484847834e-98
"ENSMUSG00000023963",1036.08929190405,-2.71131543375132,0.127642364728923,-21.241501123153,3.95061766903732e-100,5.50627415728375e-98
"ENSMUSG00000019803",3474.16029304784,-11.891620085429,0.561465697949648,-21.1796021179115,1.47271019561219e-99,2.04220797582406e-97
"ENSMUSG00000027889",5868.00919930774,1.77733049258131,0.0839496532539236,21.1713857495682,1.75325898504956e-99,2.41896610876687e-97
"ENSMUSG00000026208",480.038368248645,4.14725722105153,0.19602430251114,21.1568523286333,2.38630716654769e-99,3.27583613948492e-97
"ENSMUSG00000067860",1124.13059052647,-9.49456343840148,0.449145534616779,-21.139169170417,3.47134850349273e-99,4.74151492092072e-97
"ENSMUSG00000009378",772.034320528838,3.96950791956041,0.187812008029959,21.1355384631595,3.74888209301883e-99,5.09512243866112e-97
"ENSMUSG00000051457",466.596719853067,7.94745525005455,0.376226789439743,21.1241077805477,4.77562361793908e-99,6.45843990073563e-97
"ENSMUSG00000032368",849.662687620534,-9.08183283775298,0.430446612074214,-21.0986277577838,8.18779208656527e-99,1.10184287793493e-96
"ENSMUSG00000020077",842.546204978612,4.69706881101029,0.222972065582218,21.0657276674791,1.64085648492484e-98,2.19729987525377e-96
"ENSMUSG00000039982",2217.69146937057,-2.73985448812895,0.130433816198444,-21.0057067099876,5.81617469388555e-98,7.75054928232027e-96
"ENSMUSG00000022419",347.918588653303,3.12165709927031,0.148859041334606,20.9705575911472,1.21827902835188e-97,1.61557992701537e-95
"ENSMUSG00000036896",762.216373503483,2.59505228592874,0.123940578927319,20.9378744910537,2.42017701582896e-97,3.19393216030992e-95
